timestamp, ax(m/s^2), ay(m/s^2), omega_z(rad/s)
1703098103615832064,2.430282,9.793522,0.505645
1703098103624049152,2.400079,9.875022,0.504140
1703098103640703744,2.393186,9.862766,0.501507
1703098103649115648,2.421870,9.890053,0.502289
1703098103657351168,2.408734,9.894153,0.500896
1703098103665772288,2.349027,9.873186,0.498986
1703098103673999360,2.317058,9.904086,0.496462
1703098103682433024,2.331384,9.893123,0.494979
1703098103690790656,2.316714,9.928293,0.494743
1703098103699098880,2.302032,9.912162,0.491222
1703098103707457024,2.355877,9.916424,0.492256
1703098103715802112,2.334435,9.921369,0.492026
1703098103724215296,2.307413,9.894104,0.490386
1703098103732390400,2.275319,9.933743,0.489435
1703098103740768512,2.222365,9.978615,0.490266
1703098103749172224,2.214640,9.955091,0.487585
1703098103757572864,2.251450,9.953186,0.488973
1703098103765717504,2.198898,9.984039,0.487395
1703098103774235904,2.193355,9.937096,0.487318
1703098103782397184,2.216360,9.943204,0.486647
1703098103790874112,2.174152,9.976040,0.483569
1703098103799053056,2.219669,9.961036,0.485517
1703098103807510272,2.196695,9.934737,0.485880
1703098103815709696,2.137125,9.996613,0.484997
1703098103832365312,2.173990,10.003915,0.483747
1703098103840842240,2.163120,10.002980,0.484778
1703098103857453568,2.078834,9.993481,0.483457
1703098103865891328,2.041904,9.999254,0.483079
1703098103882447104,1.996798,10.003005,0.483433
1703098103890746624,1.968994,9.979076,0.483373
1703098103899134976,1.875127,10.023685,0.483395
1703098103907437312,1.886313,10.005728,0.484998
1703098103915894016,1.751166,10.052241,0.483043
1703098103924104960,1.678916,10.070564,0.483942
1703098103932608768,1.641618,10.049464,0.484247
1703098103940730112,1.570143,10.082952,0.485605
1703098103949272832,1.500764,10.092349,0.484910
1703098103957390848,1.365054,10.047529,0.483418
1703098103965831424,1.331763,10.116598,0.487229
1703098103974061568,1.188914,10.148828,0.487671
1703098103982569728,1.076502,10.113447,0.489282
1703098103990760960,1.016261,10.067250,0.489396
1703098104007368192,0.863845,10.139028,0.493383
1703098104015835392,0.720646,10.182072,0.492545
1703098104024018688,0.673857,10.162859,0.494331
1703098104032541184,0.590899,10.191403,0.495471
1703098104040807424,0.451746,10.200129,0.496071
1703098104049160192,0.438622,10.250592,0.497757
1703098104065801728,0.204329,10.252929,0.499128
